
# ;[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];[];
# ;franklin us opportunities fund a;godfond sverige & världen;goldman sachs asia equity income p;goldman sachs global equity impact opportunities p;goldman sachs global social impact equity p;goldman sachs greater china equity p;goldman sachs green bond p;goldman sachs japan equity p (former nn);goldman sachs protection p;handelsbanken amerika tema a1;handelsbanken asien tema a1;handelsbanken developed markets index criteria a1;handelsbanken emerging markets index a1;handelsbanken europa index criteria a1;handelsbanken global index criteria a1;handelsbanken global småbolag index criteria a1;handelsbanken global tema a1;
2023-07-19;-0,095;-0,075;;-0,005;-0,034;-0,055;-0,027;-0,043;-0,016;-0,073;-0,047;;-0,047;-0,067;-0,074;-0,035;-0,043;
2023-07-20;-0,102;-0,075;;-0,007;-0,036;-0,056;-0,029;-0,048;-0,016;-0,072;-0,045;;-0,044;-0,065;-0,072;-0,034;-0,042;
2023-07-21;-0,098;-0,073;;-0,002;-0,029;-0,050;-0,028;-0,044;-0,014;-0,069;-0,043;;-0,041;-0,062;-0,069;-0,032;-0,041;
2023-07-24;-0,096;-0,072;;-0,002;-0,028;-0,043;-0,027;-0,045;-0,014;-0,069;-0,046;;-0,042;-0,063;-0,069;-0,032;-0,041;
2023-07-25;-0,096;-0,069;;-0,001;-0,030;-0,034;-0,027;-0,046;-0,017;-0,067;-0,035;;-0,033;-0,061;-0,065;-0,031;-0,038;
2023-07-26;-0,097;-0,069;;-0,004;-0,029;-0,033;-0,029;-0,046;-0,018;-0,067;-0,034;;-0,032;-0,063;-0,065;-0,029;-0,038;
2023-07-27;-0,104;-0,068;;-0,003;-0,033;-0,036;-0,028;-0,037;-0,014;-0,062;-0,031;;-0,029;-0,055;-0,060;-0,025;-0,033;
2023-07-28;-0,086;-0,066;;-0,001;-0,021;-0,006;-0,028;-0,025;-0,010;-0,063;-0,026;;-0,023;-0,054;-0,060;-0,026;-0,033;
2023-07-31;-0,086;-0,066;;-0,001;-0,023;-0,011;-0,027;-0,030;-0,009;-0,063;-0,025;;-0,023;-0,054;-0,060;-0,024;-0,035;
2023-08-01;-0,085;-0,066;;-0,002;-0,024;-0,014;-0,030;-0,031;-0,011;-0,059;-0,020;;-0,019;-0,055;-0,056;-0,021;-0,033;
2023-08-02;;-0,068;;-0,006;-0,030;-0,026;-0,029;-0,035;-0,011;-0,061;-0,026;;-0,026;-0,059;-0,059;-0,023;-0,036;
2023-08-03;-0,090;;;;;;;;;;;;;;;;;
2023-08-04;-0,092;-0,074;;-0,014;-0,033;-0,013;-0,030;-0,036;-0,009;-0,070;-0,031;;-0,031;-0,065;-0,066;-0,030;-0,045;
2023-08-07;-0,092;-0,073;;-0,015;-0,035;-0,017;-0,031;-0,037;-0,011;-0,070;-0,031;;-0,031;-0,064;-0,066;-0,030;-0,044;
2023-08-08;-0,094;-0,073;;-0,017;-0,037;-0,022;-0,027;-0,039;-0,011;-0,065;-0,032;;-0,032;-0,061;-0,064;-0,029;-0,039;
2023-08-09;-0,097;-0,074;;-0,018;-0,037;-0,020;-0,028;-0,038;-0,009;-0,067;-0,031;;-0,031;-0,059;-0,064;-0,029;-0,040;
2023-08-10;-0,095;-0,073;;-0,017;-0,035;-0,021;-0,029;-0,035;-0,007;-0,069;-0,033;;-0,034;-0,057;-0,065;-0,031;-0,042;
2023-08-11;-0,095;-0,072;;-0,016;-0,036;-0,033;-0,031;;-0,007;-0,065;-0,031;;-0,030;-0,056;-0,062;-0,027;-0,039;
2023-08-14;-0,085;-0,072;;-0,009;-0,031;-0,032;-0,032;-0,037;-0,003;-0,062;-0,035;;-0,034;-0,057;-0,062;-0,028;-0,039;
2023-08-15;-0,089;-0,077;;-0,017;-0,035;-0,031;-0,033;-0,039;-0,005;-0,063;-0,039;;-0,038;-0,060;-0,064;-0,030;-0,041;
2023-08-16;-0,094;-0,076;;-0,019;-0,039;-0,033;-0,033;-0,042;-0,006;-0,063;-0,040;;-0,038;-0,060;-0,064;-0,031;-0,042;
2023-08-17;-0,095;-0,081;;-0,022;-0,040;-0,024;-0,034;-0,042;-0,005;-0,064;-0,038;;-0,036;-0,062;-0,065;-0,034;-0,043;
2023-08-18;-0,094;-0,080;;-0,023;-0,041;-0,036;-0,032;-0,042;-0,004;-0,067;-0,041;;-0,038;-0,065;-0,067;-0,036;-0,046;
2023-08-21;-0,088;-0,081;;-0,023;-0,039;-0,039;-0,035;-0,038;-0,003;-0,064;-0,044;;-0,040;-0,062;-0,065;-0,035;-0,045;
2023-08-22;-0,091;-0,080;;-0,025;-0,042;-0,037;-0,033;-0,041;-0,003;-0,062;-0,042;;-0,038;-0,061;-0,064;-0,035;-0,043;
2023-08-23;-0,081;-0,077;;-0,021;-0,034;-0,027;-0,029;-0,035;-0,004;-0,061;-0,039;;-0,036;-0,060;-0,062;-0,034;-0,040;
2023-08-24;-0,091;-0,079;;-0,025;-0,039;-0,020;-0,029;-0,035;-0,005;-0,056;-0,034;;-0,029;-0,058;-0,058;-0,030;-0,037;
2023-08-25;;-0,077;;-0,020;-0,035;-0,026;-0,030;-0,034;-0,004;-0,059;-0,037;;-0,032;-0,060;-0,062;-0,033;-0,039;
2023-08-28;-0,081;;;;;;;;;;;;;;;;;
2023-08-29;-0,075;-0,071;;-0,014;-0,029;-0,014;-0,029;-0,031;-0,003;-0,055;-0,029;;-0,027;-0,055;-0,057;-0,029;-0,035;
2023-08-30;-0,076;-0,073;;-0,017;-0,029;-0,016;-0,030;-0,034;-0,005;-0,055;-0,036;;-0,033;-0,056;-0,059;-0,029;-0,036;
2023-08-31;-0,076;-0,070;;-0,015;-0,031;-0,021;-0,028;-0,028;-0,004;-0,049;-0,033;;-0,031;-0,055;-0,054;-0,023;-0,032;
2023-09-01;-0,072;-0,068;;-0,013;-0,027;-0,018;-0,029;-0,023;-0,004;-0,047;;;-0,027;-0,055;-0,052;-0,020;-0,030;
2023-09-04;;-0,067;;;;-0,011;-0,031;-0,018;-0,003;;-0,021;;-0,021;-0,054;;;;
2023-09-05;-0,067;;;;;;;;;;;;;;;;;
2023-09-06;-0,069;-0,067;;-0,013;-0,024;-0,013;-0,033;-0,015;-0,003;-0,047;-0,024;;-0,024;-0,059;-0,052;-0,023;-0,029;
2023-09-07;-0,069;-0,070;;-0,015;-0,025;-0,027;-0,032;-0,018;-0,004;-0,049;-0,028;;-0,027;-0,059;-0,053;-0,027;-0,032;
2023-09-08;-0,070;-0,072;;-0,017;-0,027;-0,028;-0,031;-0,021;-0,004;-0,049;;;-0,029;-0,060;-0,055;-0,030;-0,034;
2023-09-11;-0,068;-0,070;;-0,019;-0,028;-0,030;-0,032;-0,020;-0,004;-0,048;-0,030;;-0,027;-0,059;-0,054;-0,028;-0,034;
2023-09-12;-0,073;-0,072;;-0,019;-0,030;-0,030;-0,032;-0,017;-0,004;-0,048;-0,029;;-0,027;-0,058;-0,053;-0,028;-0,034;
2023-09-13;-0,071;-0,073;;-0,020;-0,030;-0,033;-0,033;-0,019;-0,003;-0,050;-0,029;;-0,026;-0,059;-0,054;-0,030;-0,035;
2023-09-14;-0,068;-0,067;;-0,014;-0,028;-0,029;-0,031;-0,014;-0,001;-0,045;-0,024;;-0,021;-0,055;-0,049;-0,025;-0,031;
2023-09-15;-0,074;-0,068;;-0,019;-0,029;-0,030;-0,033;-0,014;-0,002;-0,046;-0,023;;-0,019;-0,052;-0,049;-0,025;-0,031;
2023-09-18;-0,073;-0,069;;-0,021;-0,031;-0,036;-0,034;;-0,002;-0,047;-0,025;;-0,021;-0,055;-0,050;-0,027;-0,033;
2023-09-19;-0,077;-0,072;;-0,024;-0,037;-0,041;-0,034;-0,016;-0,004;-0,053;-0,031;;-0,026;-0,059;-0,055;-0,031;-0,038;
2023-09-20;-0,081;-0,071;;-0,025;-0,036;-0,040;-0,034;-0,020;-0,002;-0,054;-0,037;;-0,030;-0,056;-0,056;-0,031;-0,039;
2023-09-21;-0,092;-0,075;;-0,033;-0,046;-0,051;-0,034;-0,030;-0,006;-0,059;-0,038;;-0,032;-0,058;-0,059;-0,036;-0,043;
2023-09-22;-0,089;-0,078;;-0,032;-0,045;-0,035;-0,035;-0,027;-0,005;-0,063;-0,035;;-0,030;-0,063;-0,063;-0,041;-0,047;
2023-09-25;;-0,081;;-0,034;-0,050;-0,045;-0,036;-0,029;-0,009;-0,067;-0,041;;-0,036;-0,072;-0,068;-0,045;-0,052;
2023-09-26;-0,098;;;;;;;;;;;;;;;;;
2023-09-27;-0,100;-0,087;;-0,043;-0,058;-0,046;-0,038;-0,035;-0,016;-0,072;-0,046;;-0,041;-0,077;-0,073;-0,049;-0,056;
2023-09-28;-0,096;-0,086;;-0,045;-0,055;-0,046;-0,042;-0,039;-0,017;-0,073;-0,050;;-0,045;-0,079;-0,075;-0,050;-0,058;
2023-09-29;-0,104;-0,086;;-0,049;-0,061;-0,046;-0,038;-0,046;-0,020;-0,071;-0,048;;;-0,075;-0,073;-0,047;-0,056;
2023-10-02;-0,098;-0,085;;-0,047;-0,061;;-0,040;-0,051;-0,018;-0,071;;;;-0,079;-0,073;-0,050;-0,057;
2023-10-03;;-0,089;;-0,052;-0,061;-0,046;-0,042;-0,052;-0,018;-0,070;-0,046;;-0,043;-0,081;-0,073;-0,054;-0,058;
2023-10-06;;;;;;;;;;;;;;;;;;
2023-10-09;-0,087;;;;;;;;;;;;;;;;;
2023-10-10;-0,087;-0,080;;-0,043;-0,050;-0,036;-0,038;-0,045;-0,016;-0,068;-0,046;;-0,047;-0,075;-0,072;-0,054;-0,056;
2023-10-11;;-0,079;;-0,045;-0,053;-0,042;-0,036;-0,048;-0,017;-0,066;-0,042;;-0,042;-0,072;-0,070;-0,052;-0,053;
2023-10-12;-0,090;;;;;;;;;;;;;;;;;
2023-10-13;-0,093;-0,080;;-0,050;-0,059;-0,051;-0,036;-0,049;-0,019;-0,061;-0,040;;-0,041;-0,074;-0,068;-0,058;-0,051;
2023-10-16;-0,087;-0,081;;-0,049;-0,055;-0,054;-0,038;-0,052;-0,018;-0,064;-0,046;;-0,045;-0,077;-0,071;-0,060;-0,055;
2023-10-17;-0,090;-0,083;;-0,051;-0,055;-0,060;-0,040;-0,054;-0,020;-0,066;-0,045;;-0,044;-0,080;-0,073;-0,057;-0,057;
2023-10-18;-0,098;-0,087;;-0,056;-0,061;-0,070;-0,042;-0,055;-0,019;-0,064;-0,045;;-0,046;-0,081;-0,071;-0,058;-0,057;
2023-10-19;-0,096;-0,092;;-0,058;-0,061;-0,071;-0,042;-0,054;-0,016;-0,068;-0,050;;-0,051;-0,085;-0,075;-0,064;-0,061;
2023-10-20;-0,105;-0,099;;-0,067;-0,068;-0,076;-0,041;-0,059;-0,017;-0,075;-0,052;;-0,054;-0,090;-0,080;-0,070;-0,067;
2023-10-23;-0,103;-0,100;;-0,069;-0,069;;-0,040;-0,063;-0,016;-0,077;;;;-0,090;-0,081;-0,072;-0,068;
2023-10-24;-0,102;-0,096;;-0,067;-0,070;-0,067;-0,039;-0,062;-0,014;-0,073;-0,049;;-0,052;-0,087;-0,078;-0,068;-0,064;
2023-10-25;;-0,098;;-0,068;-0,068;-0,067;-0,040;-0,056;-0,010;-0,076;-0,048;;-0,050;-0,088;-0,079;-0,072;-0,066;
2023-10-26;-0,113;;;;;;;;;;;;;;;;;
2023-10-27;;-0,101;;-0,071;-0,070;-0,065;-0,038;-0,059;-0,012;-0,085;-0,047;;-0,050;-0,090;-0,083;-0,073;-0,073;
2023-10-30;-0,106;;;;;;;;;;;;;;;;;
2023-10-31;-0,106;-0,094;;-0,062;-0,065;-0,080;-0,037;-0,054;-0,010;-0,080;-0,052;;-0,054;-0,086;-0,082;-0,071;-0,069;
2023-11-01;-0,098;-0,092;;-0,060;-0,062;-0,077;-0,036;-0,046;-0,010;-0,076;-0,050;;-0,051;-0,083;-0,076;-0,068;-0,066;
2023-11-02;;-0,085;-0,062;-0,053;-0,054;-0,071;-0,034;-0,042;-0,008;-0,070;-0,047;;-0,046;-0,075;-0,070;-0,061;-0,058;
2023-11-03;-0,086;;;;;;;;;;;;;;;;;
2023-11-06;-0,094;-0,085;-0,058;-0,054;-0,055;-0,063;-0,034;-0,044;-0,013;-0,074;-0,041;;-0,037;-0,081;-0,071;-0,060;-0,062;
2023-11-07;-0,087;-0,085;-0,059;-0,050;-0,051;-0,064;-0,032;-0,047;-0,013;-0,069;-0,042;;-0,039;-0,080;-0,069;-0,060;-0,061;
2023-11-08;-0,083;-0,086;-0,058;-0,050;-0,048;-0,061;-0,030;-0,049;-0,012;-0,066;-0,044;;-0,040;-0,078;-0,069;-0,061;-0,058;
2023-11-09;-0,090;-0,084;-0,061;-0,053;-0,053;-0,065;-0,031;-0,050;-0,013;-0,070;-0,047;;-0,044;-0,077;-0,071;-0,064;-0,059;
2023-11-10;-0,080;-0,083;-0,063;-0,049;-0,050;-0,068;-0,032;-0,051;-0,013;-0,070;-0,049;;-0,046;-0,081;-0,071;-0,067;-0,060;
2023-11-13;-0,080;-0,085;-0,061;-0,049;-0,050;-0,065;-0,032;-0,053;-0,012;-0,069;-0,048;;-0,046;-0,080;-0,070;-0,068;-0,059;
2023-11-14;-0,072;-0,078;-0,057;-0,044;-0,039;-0,059;-0,028;-0,050;-0,012;-0,067;-0,055;;-0,051;-0,076;-0,070;-0,060;-0,057;
2023-11-15;;-0,077;-0,062;-0,045;-0,047;-0,064;-0,029;-0,054;-0,016;-0,069;-0,046;;-0,043;-0,076;-0,069;-0,056;-0,057;
2023-11-16;-0,083;;;;;;;;;;;;;;;;;
2023-11-17;-0,082;-0,076;-0,066;-0,044;-0,043;-0,069;-0,028;-0,050;-0,015;-0,069;-0,052;;-0,046;-0,074;-0,069;-0,059;-0,057;
2023-11-20;-0,081;-0,075;-0,065;-0,046;-0,045;-0,062;-0,028;-0,053;-0,016;-0,072;-0,051;;-0,047;-0,075;-0,071;-0,061;-0,059;
2023-11-21;-0,085;-0,077;-0,068;-0,047;-0,047;-0,069;-0,027;-0,053;-0,019;-0,073;-0,054;;-0,047;-0,077;-0,073;-0,064;-0,061;
2023-11-22;-0,079;-0,073;-0,067;-0,041;-0,042;-0,069;-0,027;-0,050;-0,017;-0,067;-0,052;;-0,046;-0,074;-0,068;-0,059;-0,056;
2023-11-23;-0,080;-0,072;-0,065;;;-0,067;-0,028;;-0,016;;-0,050;;-0,044;-0,072;;;;
2023-11-24;-0,080;-0,073;-0,068;-0,041;-0,040;-0,069;-0,029;-0,051;-0,016;-0,070;-0,056;;-0,048;-0,071;-0,069;-0,059;-0,056;
2023-11-27;-0,082;-0,073;-0,073;-0,042;-0,041;-0,076;-0,026;-0,053;-0,017;-0,070;-0,057;;-0,049;-0,071;-0,070;-0,060;-0,056;
2023-11-28;-0,082;-0,076;-0,073;-0,045;-0,042;-0,074;-0,025;-0,054;-0,017;-0,075;-0,057;;-0,049;-0,076;-0,074;-0,064;-0,061;
2023-11-29;;-0,074;-0,075;-0,044;-0,041;-0,077;-0,022;-0,053;-0,019;-0,072;-0,060;;-0,050;-0,073;-0,071;-0,057;-0,058;
2023-11-30;-0,080;;;;;;;;;;;;;;;;;
2023-12-01;-0,076;-0,068;-0,073;-0,033;-0,034;-0,076;-0,020;-0,050;-0,016;-0,069;-0,058;;-0,048;-0,069;-0,068;-0,053;-0,055;
2023-12-04;-0,080;-0,069;-0,075;-0,036;-0,037;-0,083;-0,019;-0,052;-0,019;-0,071;-0,062;;-0,050;-0,069;-0,069;-0,047;-0,055;
2023-12-05;-0,079;-0,067;-0,080;-0,038;-0,037;-0,089;-0,015;-0,054;-0,019;-0,069;-0,065;;-0,053;-0,068;-0,069;-0,047;-0,054;
2023-12-06;-0,079;-0,065;-0,075;-0,036;-0,034;-0,083;-0,014;-0,044;-0,018;-0,067;-0,064;;-0,052;-0,065;-0,067;-0,043;-0,051;
2023-12-07;-0,077;-0,065;-0,077;-0,037;-0,037;-0,084;-0,014;-0,050;-0,020;-0,067;-0,066;;-0,053;-0,068;-0,068;-0,046;-0,051;
2023-12-08;-0,077;-0,062;-0,078;-0,038;-0,038;-0,086;-0,015;-0,050;-0,020;-0,064;-0,064;;-0,051;-0,064;-0,065;-0,043;-0,049;
2023-12-11;;-0,058;-0,075;-0,033;-0,034;-0,083;-0,016;-0,048;-0,018;-0,062;-0,064;;-0,051;-0,062;-0,064;-0,042;-0,047;
2023-12-12;-0,069;;;;;;;;;;;;;;;;;
2023-12-13;-0,063;-0,059;-0,076;-0,027;-0,027;-0,087;-0,013;-0,049;-0,017;-0,058;-0,066;;-0,053;-0,062;-0,062;-0,042;-0,044;
2023-12-14;-0,072;-0,055;-0,074;-0,032;-0,029;-0,084;-0,011;-0,047;-0,020;-0,061;-0,068;;-0,053;-0,062;-0,063;-0,029;-0,044;
2023-12-15;-0,072;-0,052;-0,074;-0,029;-0,032;-0,088;-0,008;-0,046;-0,018;-0,060;-0,062;;-0,049;-0,062;-0,062;-0,029;-0,043;
2023-12-18;-0,069;-0,055;-0,077;-0,031;-0,033;-0,092;-0,009;-0,050;-0,021;-0,063;-0,067;;-0,054;-0,066;-0,065;-0,033;-0,047;
2023-12-19;-0,068;-0,053;-0,077;-0,029;-0,029;-0,089;-0,007;-0,051;-0,021;-0,060;-0,068;;-0,054;-0,064;-0,064;-0,029;-0,044;
2023-12-20;-0,076;-0,055;-0,081;-0,034;-0,035;-0,097;-0,006;-0,051;-0,022;-0,060;-0,068;;-0,055;-0,065;-0,064;-0,030;-0,044;
2023-12-21;-0,071;-0,056;-0,078;-0,032;-0,032;-0,092;-0,005;-0,053;-0,023;-0,065;-0,070;;-0,057;-0,067;-0,068;-0,034;-0,048;
2023-12-22;-0,076;-0,056;-0,083;-0,031;-0,035;-0,104;-0,005;-0,052;-0,025;-0,068;-0,081;;-0,064;-0,069;-0,071;-0,034;-0,050;
2023-12-27;-0,077;-0,056;-0,082;-0,033;-0,035;-0,102;-0,004;-0,054;-0,027;-0,068;-0,074;;-0,057;-0,067;-0,069;-0,031;-0,048;
2023-12-28;-0,079;-0,055;-0,078;-0,032;-0,037;-0,097;-0,005;-0,052;-0,027;-0,068;-0,068;;-0,052;-0,066;-0,067;-0,031;-0,046;
2023-12-29;-0,078;-0,052;-0,073;-0,030;-0,035;-0,091;-0,007;-0,048;-0,026;-0,063;-0,063;;-0,048;-0,063;-0,063;-0,028;-0,043;
2024-01-02;-0,083;-0,052;-0,079;-0,029;-0,037;-0,098;-0,008;;-0,024;-0,064;-0,063;;-0,046;-0,063;-0,063;-0,028;-0,043;
2024-01-03;;-0,056;-0,078;-0,033;-0,038;-0,094;-0,008;;-0,024;-0,063;-0,063;;-0,047;-0,064;-0,062;-0,033;-0,045;
2024-01-04;-0,084;;;;;;;;;;;;;;;;;
2024-01-05;-0,082;-0,059;-0,076;-0,036;-0,036;-0,094;-0,011;-0,048;-0,022;-0,065;-0,066;;-0,049;-0,062;-0,063;-0,036;-0,047;
2024-01-08;-0,071;-0,055;-0,077;-0,028;-0,029;-0,097;-0,011;;-0,019;-0,064;-0,071;;-0,052;-0,059;-0,063;-0,035;-0,045;
2024-01-09;-0,071;-0,055;-0,080;-0,028;-0,031;-0,101;-0,013;-0,042;-0,021;-0,059;-0,071;;-0,052;-0,060;-0,060;-0,032;-0,041;
2024-01-10;-0,067;-0,056;-0,082;-0,029;-0,028;-0,100;-0,013;-0,035;-0,022;-0,057;-0,074;;-0,054;-0,061;-0,059;-0,033;-0,040;
2024-01-11;-0,067;-0,056;-0,081;-0,028;-0,030;-0,095;-0,013;-0,033;-0,023;-0,053;-0,070;;-0,051;-0,059;-0,056;-0,032;-0,036;
2024-01-12;-0,066;-0,053;-0,076;-0,026;-0,026;-0,092;-0,011;-0,027;-0,020;-0,052;-0,070;;-0,050;-0,059;-0,056;-0,029;-0,034;
2024-01-15;-0,065;-0,055;-0,077;;;-0,096;-0,012;-0,022;-0,020;;-0,068;;-0,049;-0,060;;;;
2024-01-16;-0,059;-0,055;-0,076;-0,024;-0,024;-0,095;-0,013;-0,025;-0,017;-0,047;-0,069;;-0,051;-0,060;-0,052;-0,031;-0,031;
2024-01-17;-0,059;-0,058;-0,085;-0,026;-0,027;-0,106;-0,015;-0,033;-0,018;-0,047;-0,079;;-0,058;-0,064;-0,054;-0,033;-0,033;
2024-01-18;-0,054;-0,056;-0,079;-0,024;-0,024;-0,101;-0,015;-0,028;-0,015;-0,045;-0,078;;-0,057;-0,060;-0,053;-0,031;-0,030;
2024-01-19;-0,047;-0,055;-0,074;-0,022;-0,021;-0,097;-0,015;-0,026;-0,014;-0,041;-0,073;;-0,053;-0,059;-0,049;-0,029;-0,028;
2024-01-22;-0,045;-0,052;-0,073;-0,018;-0,019;-0,096;-0,013;-0,021;-0,013;-0,036;-0,078;;-0,056;-0,057;-0,046;-0,022;-0,023;
2024-01-23;-0,045;-0,050;-0,069;-0,018;-0,022;-0,085;-0,015;-0,021;-0,014;-0,034;-0,071;;-0,053;-0,058;-0,045;-0,020;-0,023;
2024-01-24;-0,044;-0,049;-0,065;-0,022;-0,023;-0,079;-0,015;-0,024;-0,012;-0,035;-0,069;;-0,049;-0,054;-0,044;-0,023;-0,022;
2024-01-25;;-0,047;-0,064;-0,021;-0,025;-0,076;-0,013;-0,026;-0,011;-0,034;-0,064;;-0,046;-0,054;-0,042;-0,022;-0,022;
2024-01-26;-0,044;;;;;;;;;;;;;;;;;
2024-01-29;-0,037;-0,044;-0,064;-0,015;-0,018;-0,087;-0,011;-0,025;-0,010;-0,031;-0,064;;-0,045;-0,049;-0,040;-0,020;-0,018;
2024-01-30;-0,040;-0,045;-0,067;-0,021;-0,022;-0,090;-0,012;-0,028;-0,012;-0,031;-0,072;;-0,051;-0,049;-0,041;-0,019;-0,018;
2024-01-31;-0,048;-0,049;-0,066;-0,025;-0,024;-0,090;-0,009;-0,025;-0,012;-0,040;-0,077;;-0,057;-0,050;-0,046;-0,024;-0,024;
2024-02-01;-0,039;-0,046;-0,064;-0,019;-0,019;-0,084;-0,008;-0,020;-0,012;-0,038;-0,071;;-0,051;-0,050;-0,044;-0,026;-0,022;
2024-02-02;;-0,043;-0,064;-0,019;-0,025;-0,087;-0,012;-0,022;-0,012;-0,033;-0,068;;-0,048;-0,050;-0,041;-0,024;-0,019;
2024-02-05;-0,026;;;;;;;;;;;;;;;;;
2024-02-06;-0,022;-0,043;-0,047;-0,011;-0,015;-0,060;-0,013;-0,017;-0,005;-0,024;-0,057;;-0,038;-0,047;-0,034;-0,020;-0,011;
2024-02-07;-0,020;-0,043;-0,049;-0,012;-0,016;-0,063;-0,013;-0,018;-0,010;-0,026;-0,060;;-0,041;-0,050;-0,035;-0,024;-0,013;
2024-02-08;-0,017;-0,042;-0,049;-0,011;-0,015;-0,064;-0,015;-0,016;-0,009;-0,024;-0,062;;-0,042;-0,050;-0,034;-0,021;-0,011;
2024-02-09;-0,014;-0,043;-0,051;-0,010;-0,013;-0,064;-0,016;-0,016;-0,009;-0,021;-0,064;;;-0,051;-0,034;-0,019;-0,010;
2024-02-12;-0,019;-0,042;;-0,010;-0,014;;-0,015;;-0,009;-0,022;;;;-0,051;-0,034;-0,015;-0,011;
2024-02-13;-0,025;-0,042;;-0,014;-0,021;;-0,015;-0,014;-0,012;-0,023;;;;-0,052;-0,034;-0,019;-0,011;
2024-02-14;-0,011;-0,041;-0,044;-0,006;-0,010;-0,054;-0,014;-0,009;-0,007;-0,021;-0,058;;-0,039;-0,050;-0,032;-0,016;-0,008;
2024-02-15;-0,014;-0,038;-0,044;-0,005;-0,010;-0,052;-0,013;-0,010;-0,008;-0,024;-0,058;;-0,040;-0,049;-0,034;-0,013;-0,011;
2024-02-16;-0,021;-0,037;-0,044;-0,006;-0,012;-0,051;-0,015;-0,010;-0,008;-0,023;-0,052;;-0,035;-0,046;-0,031;-0,012;-0,009;
2024-02-19;-0,022;-0,037;-0,045;;;-0,056;-0,015;-0,008;-0,009;;-0,056;;-0,037;-0,046;;;;
2024-02-20;-0,028;-0,040;-0,044;-0,010;-0,015;-0,057;-0,014;-0,012;-0,009;-0,033;-0,058;;-0,039;-0,047;-0,038;-0,020;-0,016;
2024-02-21;-0,032;-0,040;-0,047;-0,013;-0,023;-0,059;-0,015;-0,012;-0,009;-0,035;-0,056;;-0,037;-0,047;-0,038;-0,021;-0,017;
2024-02-22;-0,023;-0,035;-0,044;-0,010;-0,023;-0,056;-0,014;-0,009;-0,008;-0,026;-0,055;;-0,036;-0,044;-0,033;-0,019;-0,009;
2024-02-23;;-0,035;-0,041;-0,008;-0,018;-0,054;-0,013;;-0,007;-0,023;-0,054;;-0,035;-0,042;-0,030;-0,018;-0,007;
2024-02-26;-0,020;;;;;;;;;;;;;;;;;
2024-02-27;-0,022;-0,035;-0,044;-0,010;-0,021;-0,052;-0,015;-0,007;-0,007;-0,027;-0,056;;-0,035;-0,043;-0,032;-0,015;-0,008;
2024-02-28;-0,019;-0,034;-0,046;-0,010;-0,020;-0,059;-0,015;-0,005;-0,005;-0,027;-0,058;;-0,037;-0,043;-0,032;-0,015;-0,009;
2024-02-29;-0,016;-0,033;-0,044;-0,010;-0,020;-0,055;-0,014;-0,002;-0,005;-0,025;-0,059;;-0,037;-0,042;-0,031;-0,012;-0,007;
2024-03-01;-0,009;-0,030;-0,041;-0,007;-0,017;-0,051;-0,014;0,001;-0,005;-0,022;-0,056;;-0,034;-0,043;-0,028;-0,012;-0,003;
2024-03-04;;-0,030;-0,040;-0,007;-0,018;-0,056;-0,013;0,001;-0,004;-0,020;-0,054;;-0,033;-0,040;-0,027;-0,008;0,000;
2024-03-05;-0,016;;;;;;;;;;;;;;;;;
2024-03-06;-0,013;-0,031;-0,032;-0,009;-0,019;-0,048;-0,011;0,011;-0,001;-0,024;-0,055;;-0,033;-0,039;-0,028;-0,009;-0,002;
2024-03-07;-0,010;-0,029;-0,033;-0,007;-0,017;-0,054;-0,010;0,010;-0,001;-0,023;-0,058;;-0,035;-0,034;-0,028;-0,008;0,000;
2024-03-08;-0,019;-0,028;-0,034;-0,009;-0,019;-0,057;-0,009;0,005;-0,003;-0,021;-0,056;;-0,034;-0,035;-0,027;-0,007;0,002;
2024-03-11;-0,022;-0,029;-0,035;-0,009;-0,020;-0,052;-0,009;-0,003;-0,004;-0,027;-0,053;;-0,032;-0,037;-0,029;-0,012;-0,004;
2024-03-12;-0,013;-0,023;-0,031;-0,007;-0,017;-0,043;-0,010;0,001;-0,002;-0,021;-0,047;;-0,027;-0,033;-0,025;-0,009;-0,000;
2024-03-13;-0,015;-0,023;-0,035;-0,007;-0,016;-0,041;-0,010;-0,006;-0,001;-0,021;-0,045;;-0,029;-0,032;-0,026;-0,009;-0,000;
2024-03-14;-0,016;-0,022;-0,036;-0,008;-0,020;-0,050;-0,012;-0,007;-0,001;-0,018;-0,043;;-0,025;-0,032;-0,024;-0,011;0,002;
2024-03-15;-0,017;-0,022;-0,034;-0,008;-0,019;-0,044;-0,012;-0,000;0,002;-0,019;-0,047;;-0,028;-0,030;-0,024;-0,009;0,002;
2024-03-18;-0,014;-0,022;-0,031;-0,006;-0,017;-0,040;-0,012;0,007;0,002;-0,014;-0,044;;-0,025;-0,031;-0,020;-0,007;0,006;
2024-03-19;-0,007;-0,020;-0,033;-0,002;-0,013;-0,043;-0,012;0,011;0,006;-0,015;-0,047;;-0,028;-0,031;-0,021;-0,009;0,004;
2024-03-20;-0,003;-0,018;-0,035;-0,001;-0,013;-0,042;-0,012;;0,005;-0,010;-0,044;;-0,024;-0,028;-0,017;-0,004;0,009;
2024-03-21;-0,004;-0,012;-0,031;0,003;-0,011;-0,045;-0,011;0,016;0,006;-0,004;-0,040;;-0,019;-0,025;-0,013;0,005;0,014;
